"","1 segs","2 segs","3 segs","4 segs","5 segs","6 segs","7 segs","8 segs","9 segs","10 segs"
"k=1",0.865116279069767,0.893023255813953,0.869767441860465,0.893023255813953,0.893023255813953,0.86046511627907,0.869767441860465,0.846511627906977,0.865116279069767,0.846511627906977
"k=2",0.865116279069767,0.893023255813953,0.869767441860465,0.893023255813953,0.897674418604651,0.865116279069767,0.883720930232558,0.902325581395349,0.874418604651163,0.869767441860465
"k=3",0.809302325581395,0.897674418604651,0.87906976744186,0.869767441860465,0.883720930232558,0.827906976744186,0.851162790697674,0.869767441860465,0.837209302325581,0.874418604651163
"k=4",0.823255813953488,0.911627906976744,0.851162790697674,0.883720930232558,0.897674418604651,0.841860465116279,0.869767441860465,0.874418604651163,0.827906976744186,0.86046511627907
"k=5",0.786046511627907,0.87906976744186,0.823255813953488,0.832558139534884,0.865116279069767,0.813953488372093,0.818604651162791,0.846511627906977,0.781395348837209,0.823255813953488
"k=6",0.827906976744186,0.906976744186046,0.823255813953488,0.851162790697674,0.874418604651163,0.813953488372093,0.846511627906977,0.851162790697674,0.776744186046512,0.837209302325581
"k=7",0.772093023255814,0.86046511627907,0.8,0.846511627906977,0.841860465116279,0.818604651162791,0.795348837209302,0.818604651162791,0.748837209302326,0.804651162790698
"k=8",0.790697674418605,0.87906976744186,0.8,0.832558139534884,0.869767441860465,0.804651162790698,0.832558139534884,0.813953488372093,0.748837209302326,0.818604651162791
"k=9",0.720930232558139,0.832558139534884,0.767441860465116,0.781395348837209,0.823255813953488,0.772093023255814,0.767441860465116,0.790697674418605,0.720930232558139,0.781395348837209
"k=10",0.776744186046512,0.888372093023256,0.795348837209302,0.8,0.832558139534884,0.762790697674419,0.813953488372093,0.790697674418605,0.744186046511628,0.776744186046512
"k=11",0.716279069767442,0.753488372093023,0.734883720930233,0.734883720930233,0.767441860465116,0.734883720930233,0.753488372093023,0.734883720930233,0.720930232558139,0.748837209302326
"k=12",0.753488372093023,0.832558139534884,0.758139534883721,0.753488372093023,0.790697674418605,0.730232558139535,0.762790697674419,0.730232558139535,0.711627906976744,0.730232558139535
"k=13",0.711627906976744,0.776744186046512,0.748837209302326,0.734883720930233,0.748837209302326,0.711627906976744,0.711627906976744,0.73953488372093,0.683720930232558,0.725581395348837
"k=14",0.748837209302326,0.790697674418605,0.758139534883721,0.748837209302326,0.767441860465116,0.720930232558139,0.734883720930233,0.748837209302326,0.693023255813954,0.744186046511628
"k=15",0.711627906976744,0.758139534883721,0.73953488372093,0.744186046511628,0.744186046511628,0.711627906976744,0.716279069767442,0.73953488372093,0.706976744186047,0.734883720930233
"k=16",0.753488372093023,0.786046511627907,0.744186046511628,0.744186046511628,0.753488372093023,0.720930232558139,0.725581395348837,0.73953488372093,0.711627906976744,0.753488372093023
"k=17",0.748837209302326,0.767441860465116,0.73953488372093,0.753488372093023,0.730232558139535,0.730232558139535,0.734883720930233,0.73953488372093,0.697674418604651,0.744186046511628
"k=18",0.767441860465116,0.772093023255814,0.734883720930233,0.744186046511628,0.748837209302326,0.725581395348837,0.716279069767442,0.753488372093023,0.693023255813954,0.744186046511628
"k=19",0.753488372093023,0.776744186046512,0.716279069767442,0.734883720930233,0.730232558139535,0.725581395348837,0.716279069767442,0.734883720930233,0.706976744186047,0.725581395348837
"k=20",0.748837209302326,0.781395348837209,0.73953488372093,0.73953488372093,0.73953488372093,0.725581395348837,0.716279069767442,0.730232558139535,0.702325581395349,0.734883720930233
"k=21",0.748837209302326,0.772093023255814,0.73953488372093,0.730232558139535,0.734883720930233,0.716279069767442,0.725581395348837,0.725581395348837,0.706976744186047,0.725581395348837
